"date","store","shift","event_type","featured_maid","tweet_id"
"2025-07-27","2号店 A.D.1912","ひる","周年","まこと","1949307421773762905"
"2025-07-27","2号店 A.D.1912","よる","周年","まこと","1949409571371651280"
"2025-07-29","1号店 アキバ絶対領域","よる","周年","きらり","1950130389839655300"
"2025-07-31","2号店 A.D.1912","ひる","卒業","えい","1950759603526087045"
"2025-07-31","2号店 A.D.1912","よる","卒業","えい","1950854824678826309"
"2025-08-04","3号店 +e","よる","周年","はぴる","1952288046008934706"
"2025-08-08","1号店 アキバ絶対領域","ひる","卒業","まる","1953656641024667764"
"2025-08-08","1号店 アキバ絶対領域","よる","卒業","まる","1953751382483427605"
"2025-08-12","4号店 A.D.2045","ひる","周年","すくい","1955104422742433842"
"2025-08-12","4号店 A.D.2045","よる","周年","すくい","1955194986196255227"
"2025-08-20","4号店 A.D.2045","よる","生誕","ばにら","1958090973826928786"
"2025-08-27","2号店 A.D.1912","よる","生誕","のの","1960635674664821138"
"2025-08-29","2号店 A.D.1912","ひる","卒業","えみる","1961264374896890109"
"2025-08-29","2号店 A.D.1912","よる","卒業","えみる","1961370162168524864"
"2025-09-07","4号店 A.D.2045","よる","生誕","こまち","1964608502980362516"
"2025-09-13","2号店 A.D.1912","よる","生誕","あくび","1966781120999280869"
"2025-09-15","2号店 A.D.1912","よる","生誕","えな","1967516084296405237"
"2025-09-17","1号店 アキバ絶対領域","よる","周年","ふぁん","1968241687777718722"
"2025-09-19","4号店 A.D.2045","よる","周年","ねむり","1968963940664193115"
"2025-09-23","3号店 +e","よる","生誕","こい","1970402487824969766"
"2025-10-04","3号店 +e","ひる","周年","あむ","1974314181899006283"
"2025-10-04","3号店 +e","よる","周年","あむ","1974410806004678829"
"2025-10-10","3号店 +e","よる","生誕","さぴ","1976563919906107840"
"2025-10-11","2号店 A.D.1912","よる","生誕","つくし","1976926208932954252"
"2025-10-15","2号店 A.D.1912","ひる","生誕","まこと","1978300730927612362"
"2025-10-15","2号店 A.D.1912","よる","生誕","まこと","1978388819918364814"
"2025-10-15","2号店 A.D.1912","よる","生誕","まこと","1978388707196473350"
"2025-10-18","3号店 +e","よる","周年","うる","1979492223923429852"
"2025-11-07","1号店 アキバ絶対領域","よる","生誕","うな","1986725304640151638"
"2025-11-15","2号店 A.D.1912","よる","生誕","かすみ","1989623629391556832"
"2025-11-25","1号店 アキバ絶対領域","ひる","生誕","ひかり","1993153924715737174"
"2025-11-25","1号店 アキバ絶対領域","よる","生誕","ひかり","1993249868790612261"
"2025-11-25","1号店 アキバ絶対領域","よる","生誕","ひかり","1993249728293912925"
"2025-12-03","3号店 +e","よる","周年","ひなり","1996155673122632168"
"2025-12-10","1号店 アキバ絶対領域","よる","生誕","しゃち","1998677334203764806"
"2025-12-12","1号店 アキバ絶対領域","よる","卒業","こまち","1999393014394028128"
"2025-12-20","2号店 A.D.1912","ひる","生誕","かなた","2002214922122637428"
"2026-01-13","1号店 アキバ絶対領域","よる","生誕","きらり","2011006077274636430"
"2026-01-19","4号店 A.D.2045","よる","周年","みりあ","2013164589777670552"
"2026-01-26","3号店 +e","よる","生誕","みぞれ","2015716035190784116"
"2026-02-07","1号店 アキバ絶対領域","よる","生誕","めろ","2020085837309116677"
"2026-02-12","3号店 +e","ひる","生誕","あらた","2021783029702963266"
"2026-02-16","4号店 A.D.2045","よる","生誕","ねむり","2023310428168974650"
"2026-02-19","4号店 A.D.2045","ひる","生誕","すくい","2024319060834734378"
"2026-02-19","4号店 A.D.2045","よる","生誕","すくい","2024413369458184408"
"2026-02-20","3号店 +e","ひる","生誕","はぴる","2024685514914447502"
"2026-02-20","3号店 +e","よる","生誕","はぴる","2024763658254098931"
"2026-02-23","1号店 アキバ絶対領域","よる","周年","ひかり","2025860166152077701"
"2026-02-28","1号店 アキバ絶対領域","ひる","周年","ばにら","2027583053728829632"
"2026-02-28","1号店 アキバ絶対領域","よる","周年","ばにら","2027678151690883503"
"2026-03-02","1号店 アキバ絶対領域","ひる","生誕","みりん","2028305091191812198"
"2026-03-02","1号店 アキバ絶対領域","よる","生誕","みりん","2028400681959489588"
"2026-03-06","4号店 A.D.2045","よる","卒業","ばにら","2029882726694932655"
"2026-03-10","2号店 A.D.1912","よる","卒業","かすみ","2031281831128215773"
"2026-03-23","3号店 +e","ひる","卒業","さぴ","2035919176028889296"
"2026-03-23","3号店 +e","よる","卒業","さぴ","2036011713301221530"
"2026-03-26","4号店 A.D.2045","よる","生誕","える","2037085873326665902"
"2026-03-28","2号店 A.D.1912","ひる","周年","えな","2037730800406511827"
"2026-03-28","2号店 A.D.1912","よる","周年","えな","2037823928912212455"
"2026-03-30","2号店 A.D.1912","ひる","卒業","えな","2038453604697456729"
"2026-03-30","2号店 A.D.1912","よる","卒業","えな","2038547287769780668"
"2026-03-31","3号店 +e","よる","卒業","あまめ","2038902227159732577"
"2026-04-01","2号店 A.D.1912","よる","周年","のの","2039272924331552879"
"2026-04-04","1号店 アキバ絶対領域","ひる","周年","しゃち","2040264566551277958"
"2026-04-04","1号店 アキバ絶対領域","よる","周年","しゃち","2040358680332533810"
"2026-04-13","1号店 アキバ絶対領域","ひる","周年","ちさと","2043529322418577828"
"2026-04-13","1号店 アキバ絶対領域","よる","周年","ちさと","2043627414979522658"
"2026-04-28","1号店 アキバ絶対領域","ひる","卒業","ふぁん","2048963258967814482"
"2026-04-28","1号店 アキバ絶対領域","よる","卒業","ふぁん","2049055244760547437"
"2026-05-01","3号店 +e","ひる","生誕","あむ","2050068592323162299"
"2026-05-07","1号店 アキバ絶対領域","よる","周年","みりん","2052313746480275910"
"2026-05-31","1号店 アキバ絶対領域","ひる","生誕","つぼみ","2060921704835375216"
"2026-05-31","1号店 アキバ絶対領域","よる","生誕","つぼみ","2061012663191433565"
"2026-06-01","3号店 +e","ひる","周年","あめる","2061285900550820078"
"2026-06-01","3号店 +e","ひる","周年","あめる","2061285749820129588"
"2026-06-01","3号店 +e","よる","周年","あめる","2061373641665941866"
"2026-06-03","3号店 +e","よる","周年","こい","2062087360758894754"
"2026-06-06","3号店 +e","ひる","生誕","うる","2063094093572706583"
"2026-06-06","3号店 +e","よる","生誕","うる","2063192445719089221"
"2026-06-08","4号店 A.D.2045","よる","周年","こえび","2063905767279980868"
"2026-06-10","1号店 アキバ絶対領域","よる","周年","うな","2064638546129158632"
"2026-06-22","3号店 +e","ひる","生誕","ひなり","2068892705179185658"
"2026-06-22","3号店 +e","よる","生誕","ひなり","2068986556283764811"
"2026-06-26","3号店 +e","よる","卒業","みぞれ","2070422758941671901"
"2026-07-03","2号店 A.D.1912","よる","卒業","つくし","2072985193254945248"
"2026-07-09","4号店 A.D.2045","ひる","生誕","みりあ","2075056583755919834"
"2026-07-18","2号店 A.D.1912","よる","周年","まひろ","2078411948220440944"
"2026-07-27","2号店 A.D.1912","ひる","周年","まこと","2081576461929263472"
"2026-07-27","2号店 A.D.1912","よる","周年","まこと","2081669392614744089"
"2026-07-29","1号店 アキバ絶対領域","よる","周年","きらり","2082392271727780296"
"2026-08-02","2号店 A.D.1912","ひる","生誕","ちょこ","2083755318824300998"
"2026-08-02","2号店 A.D.1912","よる","生誕","ちょこ","2083833448037503348"
"2026-08-04","2号店 A.D.1912","よる","周年","かなた","2084557595764031532"
"2026-08-04","3号店 +e","よる","周年","はぴる","2084567437706748193"
"2026-08-12","4号店 A.D.2045","ひる","周年","すくい","2087376953385099399"
"2026-08-15","2号店 A.D.1912","よる","生誕","いろは","2088539989382664686"
"2026-09-01","1号店 アキバ絶対領域","よる","周年","もなか","2094716955529998836"
